comment,cleaned_text,l_xlm,c_xlm,l_bert,c_bert
වහින්නේ හිටගෙන පුක හෝදන්න ස්ල්ව්ස ‌ ‌ ‌  · 4 සේප 2021 ස්ල්ව්ස අද වහිනවා ටහිකෙන්න,වහින්නේ හිටගෙන පුක හෝදන්න ස්ල්ව්ස ‌ ‌ ‌  · 4 සේප 2021 ස්ල්ව්ස අද වහිනවා ටහිකෙන්න,Harassment,0.7769,Harassment,0.8052
පුක දෙන්නැතිව පහලට යමන්,පුක දෙන්නැතිව පහලට යමන්,Harassment,0.5366,Harassment,0.8477
බව් බව් ගාපු එවුනට දෙන්නේ මක්කා සව් බාගයට පුක උලපති දෙනු දැක්කා සිව් හෙල දෙරණෙ කුස පුරවන්නට ලොක්කා නැව් පුරවලා චීනෙන් ගේනව කක්කා Copied from: සුගත් නන්දනත,බව් බව් ගාපු එවුනට දෙන්නේ මක්කා සව් බාගයට පුක උලපති දෙනු දැක්කා සිව් හෙල දෙරණෙ කුස පුරවන්නට ලොක්කා නැව් පුරවලා චීනෙන් ගේනව කක්කා Copied from: සුගත් නන්දනත,Harassment,0.4851,Harassment,0.9673
මගේ ලගට එවන්න අල්ලල..මම ගන්නම් පුක බෝර් කරල.... ඉම්ගය්,මගේ ලගට එවන්න අල්ලල..මම ගන්නම් පුක බෝර් කරල.... ඉම්ගය්,Harassment,0.709,Harassment,0.9795
"පුක නැත්තම් ලොකුවට වන වන යන්නෙපා නංගී, සොකට් බහීවි","පුක නැත්තම් ලොකුවට වන වන යන්නෙපා නංගී, සොකට් බහීවි",Harassment,0.5103,Harassment,0.7773
අරූ තොගෙ පුක මිරිකනවා බලන් ඉන්න බැරුව අහක බලන් ඉන්නේ මන්,අරූ තොගෙ පුක මිරිකනවා බලන් ඉන්න බැරුව අහක බලන් ඉන්නේ මන්,Harassment,0.6953,Harassment,0.6323
මේ ගොතයාගේ පඩලයින් තමා පෙන්න බැරි.. එදා නම් පම්කයාගේ පුක තැලුවා මිලර්.. සව්පක්,මේ ගොතයාගේ පඩලයින් තමා පෙන්න බැරි.. එදා නම් පම්කයාගේ පුක තැලුවා මිලර්.. සව්පක්,Harassment,0.5513,Harassment,0.9536
හාමුගෙ පුක ලෙවකන රතු අලි පැටව් මේව දන්නෙ නැතුව ඇති. ඕං අහගනිල්ල. ඉදිරියේ දි ඕනවෙයි.+ උර්ල්,හාමුගෙ පුක ලෙවකන රතු අලි පැටව් මේව දන්නෙ නැතුව ඇති. ඕං අහගනිල්ල. ඉදිරියේ දි ඕනවෙයි.+ උර්ල්,Harassment,0.5269,Harassment,0.8135
දෙවියො පුක මවනකොට බඩේ මාරුවක් තිබ්බ දවසක තමයි උබව හදල තියෙන්නෙ කක්ක පොඩ්ඩක් පුක උඩට වැටිල තමා උබේ ෆේස් එක හැදුනෙ,දෙවියො පුක මවනකොට බඩේ මාරුවක් තිබ්බ දවසක තමයි උබව හදල තියෙන්නෙ කක්ක පොඩ්ඩක් පුක උඩට වැටිල තමා උබේ ෆේස් එක හැදුනෙ,Harassment,0.5283,Harassment,0.9839
බස් අැතුලෙ හදුන් කූරු පත්තු කරන උංගෙ පුක හදුන් කූරකින් පුච්චන්නොනි,බස් අැතුලෙ හදුන් කූරු පත්තු කරන උංගෙ පුක හදුන් කූරකින් පුච්චන්නොනි,Harassment,0.5459,Harassment,0.7656
බලන්න ගනිගෙ පුක මිරිකන්න කොහොම ද කියලා,බලන්න ගනිගෙ පුක මිරිකන්න කොහොම ද කියලා,Harassment,0.7886,Harassment,0.9634
ඡෙරීට මොන කැටයම්ද බං උබේ පුක මොකද මගේ පුක මොකද,ඡෙරීට මොන කැටයම්ද බං උබේ පුක මොකද මගේ පුක මොකද,Harassment,0.5415,Harassment,0.9312
69 ලස්සේ බයියන්ගෙන් සබිරි ඇහුවද පුක දෙනවද? වෙඩි කනවද? කියලා.. බයියෝ කීවලු පුකත් දීලා වෙඩිත් කන්නමි කියලා,69 ලස්සේ බයියන්ගෙන් සබිරි ඇහුවද පුක දෙනවද? වෙඩි කනවද? කියලා.. බයියෝ කීවලු පුකත් දීලා වෙඩිත් කන්නමි කියලා,Harassment,0.7217,Harassment,0.8911
වැල්ලේ රීලා..... රැල්ලෙන් පුක සෝදාලා.....,වැල්ලේ රීලා..... රැල්ලෙන් පුක සෝදාලා.....,Harassment,0.6147,Harassment,0.9531
සීතලසඳ එලියේ . . . දාගෙන පුක එලියේ . . . ඔබහා සුරතලියේ . . .,සීතලසඳ එලියේ . . . දාගෙන පුක එලියේ . . . ඔබහා සුරතලියේ . . .,Harassment,0.5039,Harassment,0.7515
ආවා එකෙක් හොරු අල්ලනවාය කියා බිලියන ගානක් සීනි වලින් කෙලියා මාටියා කුලුන ගෙන තොගෙ පුක මැදින් තියා උඩ පැනපන් මැදමුලනේ ගූ බයියා,ආවා එකෙක් හොරු අල්ලනවාය කියා බිලියන ගානක් සීනි වලින් කෙලියා මාටියා කුලුන ගෙන තොගෙ පුක මැදින් තියා උඩ පැනපන් මැදමුලනේ ගූ බයියා,Harassment,0.6807,Harassment,0.895
යුරේනිගේ පුක දැකපුකල් ටෙනීගේ කටින් එලියට පනියි! උර්ල්,යුරේනිගේ පුක දැකපුකල් ටෙනීගේ කටින් එලියට පනියි! උර්ල්,Harassment,0.7451,Harassment,0.5303
"බල්ලගෙ නමත් සමීර කීවොත් තොගෙ පුක කනවා... බල්ලගෙ නම ජෝති, ජෝති සමීර දෙඅදෙඩ්","බල්ලගෙ නමත් සමීර කීවොත් තොගෙ පුක කනවා... බල්ලගෙ නම ජෝති, ජෝති සමීර දෙඅදෙඩ්",Harassment,0.6582,Harassment,0.9341
ජොනී ජෝනී යස් පපා චූ කෙරුවද ? යෙස් පපා පුක සේදුවද නෝ පපා *ගිහින් පුක හෝදන් වර පරයා*,ජොනී ජෝනී යස් පපා චූ කෙරුවද ? යෙස් පපා පුක සේදුවද නෝ පපා *ගිහින් පුක හෝදන් වර පරයා*,Harassment,0.5889,Harassment,0.9155
තම්බිල තම්බිලා වෙනුවෙන් කතා කරනවා අවුලක්නෑ ඒත් තම්බිලගෙ පුක ලේවකන නගෝ සිංහල උන් ඉන්නකන් මොකුත්ම කරන්න බෑ,තම්බිල තම්බිලා වෙනුවෙන් කතා කරනවා අවුලක්නෑ ඒත් තම්බිලගෙ පුක ලේවකන නගෝ සිංහල උන් ඉන්නකන් මොකුත්ම කරන්න බෑ,Harassment,0.6836,Harassment,0.9683
කැරි ජෙරියගෙ පුක මහල බඩ යන්න බෙහෙත් දෙන්නෝන,කැරි ජෙරියගෙ පුක මහල බඩ යන්න බෙහෙත් දෙන්නෝන,Harassment,0.5347,Harassment,0.9287
අනේ හුයන්න උබ කොහෙද බන් වලෙන් නැගිට්ටේ මමනේ වලෙන් නැගිට්ටේ .. පුක දෙන්න යනවනේ උබත් ඉතින් #පුකෙනුත්_හිනා,අනේ හුයන්න උබ කොහෙද බන් වලෙන් නැගිට්ටේ මමනේ වලෙන් නැගිට්ටේ .. පුක දෙන්න යනවනේ උබත් ඉතින් #පුකෙනුත්_හිනා,Harassment,0.7124,Harassment,0.6377
පුකේ ඉත්තෑවො දුවන්න නම් එක්කො පුක අක්කරයක් තරම් ලොකු වෙන්න ඕනෙ. ඇත්නම් ඉත්තෑවො කූඹි තරම් පොඩි වෙන්න ඕනෙ.,පුකේ ඉත්තෑවො දුවන්න නම් එක්කො පුක අක්කරයක් තරම් ලොකු වෙන්න ඕනෙ. ඇත්නම් ඉත්තෑවො කූඹි තරම් පොඩි වෙන්න ඕනෙ.,Harassment,0.5991,Harassment,0.9829
", පුක රත්තගෙ තිබ්බත් පුකම තමා ඒයි. ඒක රත්තගෙ ත්‍රෙඩ් එකක තිබ්බ කියල පුක දේවාලෙ වෙන්නෙ නෑ . . . පුක රීවම, පඩෑරියම ගඳ ගහන පුකම තමයි",", පුක රත්තගෙ තිබ්බත් පුකම තමා ඒයි. ඒක රත්තගෙ ත්‍රෙඩ් එකක තිබ්බ කියල පුක දේවාලෙ වෙන්නෙ නෑ . . . පුක රීවම, පඩෑරියම ගඳ ගහන පුකම තමයි",Harassment,0.7778,Harassment,0.9854
", අල්ලල පුක පලන්න ඕනෙ",", අල්ලල පුක පලන්න ඕනෙ",Harassment,0.748,Harassment,0.9868
"""මගේ ඔලුව ගිහිනි තියල පුක උරපල්ලා"" - මිට සිගරට් එක-","""මගේ ඔලුව ගිහිනි තියල පුක උරපල්ලා"" - මිට සිගරට් එක-",Harassment,0.5244,Harassment,0.8872
විස්ව සාලුකට දීලා ආයේ කට පුක වෙන්න හම්මෝ,විස්ව සාලුකට දීලා ආයේ කට පුක වෙන්න හම්මෝ,Harassment,0.6714,Harassment,0.8979
පර දෙමලා උපතින්ම ජාතිවාදීය. මුන්ට පුක දෙන සිංහල හුත්තලා මුලින් වඳ කල යුතුය.,පර දෙමලා උපතින්ම ජාතිවාදීය. මුන්ට පුක දෙන සිංහල හුත්තලා මුලින් වඳ කල යුතුය.,Harassment,0.7456,Harassment,0.7109
මං දනුක උනා නම් දැන් මගේ පුක වලක් කපල වලදාගෙන!,මං දනුක උනා නම් දැන් මගේ පුක වලක් කපල වලදාගෙන!,Harassment,0.5308,Harassment,0.9678
රසිකගෙ තන වගේද ජම්බෝලෙගෙ පුක.,රසිකගෙ තන වගේද ජම්බෝලෙගෙ පුක.,Harassment,0.5767,Harassment,0.9521
පතාගෙන ඇවිත් ඔබෙ පුක සැපුවාම සතා මොක උනත් ඇති වෙයි ඉදිමීම..,පතාගෙන ඇවිත් ඔබෙ පුක සැපුවාම සතා මොක උනත් ඇති වෙයි ඉදිමීම..,Harassment,0.5879,Harassment,0.4907
තව තව ඉපල් ගැහුවනම් හරි පුක උඩදාගෙන,තව තව ඉපල් ගැහුවනම් හරි පුක උඩදාගෙන,Harassment,0.5933,Harassment,0.9565
පුක ලොකු එකා අක්කර පුකා චිල්ධූද්නිච්ක්නමෙස්ල්ක්,පුක ලොකු එකා අක්කර පුකා චිල්ධූද්නිච්ක්නමෙස්ල්ක්,Harassment,0.7637,Harassment,0.979
මම පුක උනත් උබේ මූන කක්කි ගොඩක් තමයි..,මම පුක උනත් උබේ මූන කක්කි ගොඩක් තමයි..,Harassment,0.4939,Harassment,0.8384
"ඉප්ලටේ හොට් ප්ලේට් වගේ, පුක රත්කරන්න","ඉප්ලටේ හොට් ප්ලේට් වගේ, පුක රත්කරන්න",Harassment,0.647,Harassment,0.9438
පව් හුට්ටෝ ඌ.පුක හපං මැරෙයි හෙට වෙද්දී ඕකා,පව් හුට්ටෝ ඌ.පුක හපං මැරෙයි හෙට වෙද්දී ඕකා,Harassment,0.5146,Harassment,0.9097
", හරි ගැස්සුවෙ නැත්තම් ඉතින් පුකෙ ගහල එන්නෙ හුත්ත",", හරි ගැස්සුවෙ නැත්තම් ඉතින් පුකෙ ගහල එන්නෙ හුත්ත",Harassment,0.75,Harassment,0.9775
මට දුන්නොත් පුක පලනවා ඇඩෙන්න,මට දුන්නොත් පුක පලනවා ඇඩෙන්න,Harassment,0.7563,Harassment,0.8726
සුදු මාමේ පුක දෙනවද බ්‍රෝට බ්‍රෝ පුක දෙනකද සුදු මාමට. #අවුස්සමින්,සුදු මාමේ පුක දෙනවද බ්‍රෝට බ්‍රෝ පුක දෙනකද සුදු මාමට. #අවුස්සමින්,Harassment,0.5684,Harassment,0.9819
පුක රත් වෙන්න ෂෝට් එක දෙනවා: උර්ල් via,පුක රත් වෙන්න ෂෝට් එක දෙනවා: උර්ල් via,Harassment,0.4883,Harassment,0.7231
