comment,cleaned_text,label,confidence
"""කව්ද හුත්තො මේ පොන්නයා.. අදයි දැක්කෙත් වේස හුකන්නා... හෙණ ගහපන් කොන්ක්‍රීට් පොන්නයා ""  #comments","""කව්ද හුත්තො මේ පොන්නයා.. අදයි දැක්කෙත් වේස හුකන්නා... හෙණ ගහපන් කොන්ක්‍රීට් පොන්නයා "" චොම්මේන්ට්ස්",Harassment,0.981
"""කවුද යකෝ මන් ඉපදුන ගමන් මගෙ පුකට ගහපු ඩොක්ටරයා""  #ChildhoodMemoriesLk","""කවුද යකෝ මන් ඉපදුන ගමන් මගෙ පුකට ගහපු ඩොක්ටරයා"" චිල්ධූද්මෙමොරිඑස්ල්ක",Harassment,0.9199
"""කැපුවත් මැරුවත් අපි රනිල්ගේ"" කියන පට්ට හොරු ගැන කුමන කතාද?  #UNPJunta #HoldELECTIONS ! #ElectionsWithheld #lka #sriLanka #Colombo  @USER  @USER   @USER  @USER","""කැපුවත් මැරුවත් අපි රනිල්ගේ"" කියන පට්ට හොරු ගැන කුමන කතාද? උන්ප්ජුන්ට හොල්දෙලෙක්තිඔන්ස ! එලෙක්තිඔන්ස්විථ්හෙල්ද ලක ශ්‍රීලංකා චොලොම්බෝ",Harassment,0.915
"""කොරෝනා හැදිල මං මැරෙයිද දන්නෙත් නෑ..  උඹ ඊට කලින් මිනිහෙක් හොයන් 'මං බඳින්නෙ මූව' කියල කියපන්..  මට මැරුණත් කමක් නෑ... ""   අපෙ අම්මා , - කුස්සියේ බංකුව උඩ ඇණතියන් -  අපෙ තාත්තා අවු. 22 ක් මේ  කෝළම්  කෙල්ලව කොහොම manage කලාද මන්දා..  #මේවා_සිරා_සිද්ධි","""කොරෝනා හැදිල මං මැරෙයිද දන්නෙත් නෑ.. උඹ ඊට කලින් මිනිහෙක් හොයන් 'මං බඳින්නෙ මූව' කියල කියපන්.. මට මැරුණත් කමක් නෑ... "" අපෙ අම්මා , - කුස්සියේ බංකුව උඩ ඇණතියන් - අපෙ තාත්තා අවු. 22 ක් මේ කෝළම් කෙල්ලව කොහොම manage කලාද මන්දා.. #මේවා_සිරා_සිද්ධි",Harassment,0.9194
"""ගල හොඳනම් අඹරන කහ මක් වේද?"" #TukTukQuotes","""ගල හොඳනම් අඹරන කහ මක් වේද?"" තුක්තුක්කුඔතෙස්",Harassment,0.9814
"@USER @USER  ""ගහනවා තොට මඩු වලිගෙන්""","""ගහනවා තොට මඩු වලිගෙන්""",Harassment,0.9619
"""ගෑල් ලමයි , තොපි හිතං ඉන්නෙ තොපි අමුතු ජාතියක් කියලද... අනික තොපි පංති එන්නෙ ඉගෙන ගන්ඩද එක එකා එක්ක නිදිවදින්ඩද ලැජ්ජා නැති හැත්ත ,පස්ස පැත්තට පයින් ගහල එලවන්නෙ හරී.. ""  -කේසිරි විතානගේ-  වාසනාවට මට හමුවුන ගුරුවරයෙක් කොල්ලො තමා වැඩිපුරම හිටියෙ.#ගුරුදේශනා","""ගෑල් ලමයි , තොපි හිතං ඉන්නෙ තොපි අමුතු ජාතියක් කියලද... අනික තොපි පංති එන්නෙ ඉගෙන ගන්ඩද එක එකා එක්ක නිදිවදින්ඩද ලැජ්ජා නැති හැත්ත ,පස්ස පැත්තට පයින් ගහල එලවන්නෙ හරී.. "" -කේසිරි විතානගේ- වාසනාවට මට හමුවුන ගුරුවරයෙක් කොල්ලො තමා වැඩිපුරම හිටියෙ.#ගුරුදේශනා",Harassment,0.9253
"@USER @USER  ""තද තද නිග්ගා. අපි පොලවේ පය ගහලා ඉන්න කැ*යෝ ජාති හු*තෝ""  එහා ගෙදර පොඩි එකා ස්ටේටස් එකක් අප්ලෝඩ් කරලා තිබ්බා","""තද තද නිග්ගා. අපි පොලවේ පය ගහලා ඉන්න කැ*යෝ ජාති හු*තෝ"" එහා ගෙදර පොඩි එකා ස්ටේටස් එකක් අප්ලෝඩ් කරලා තිබ්බා",Harassment,0.9351
"""තෝ මරණව බැල්ලි"" ""තෝ "" කියන්නෙ කුණු හබ්බයක්ද? ""මරණව""  කියන්නෙ කුණු හබ්බයක්ද? ""බැල්ලි"" කියන්නෙ කුණු හබ්බයක්ද? *යකෝ පකේ නඩු තීන්දු එ්ව ...  අා අර නඩුකාරයො වෙන්න ඉන්න එවුං ටිකක් නේ මහින්දට අැහැ තියල ගොං අාතල් ගත්තේ?","""තෝ මරණව බැල්ලි"" ""තෝ "" කියන්නෙ කුණු හබ්බයක්ද? ""මරණව"" කියන්නෙ කුණු හබ්බයක්ද? ""බැල්ලි"" කියන්නෙ කුණු හබ්බයක්ද? *යකෝ පකේ නඩු තීන්දු එ්ව ... අා අර නඩුකාරයො වෙන්න ඉන්න එවුං ටිකක් නේ මහින්දට අැහැ තියල ගොං අාතල් ගත්තේ?",Harassment,0.9023
"""තෝ හිතුවද මම බඩුවක් කියාලා.., තෝව අරං එලියට විසිකරනවා.."" - පාරේ අක්කාගෙන්  ත්‍රිවිල් මල්ලිට දැඩි ප්‍රහාරයක්..!!! URL","""තෝ හිතුවද මම බඩුවක් කියාලා.., තෝව අරං එලියට විසිකරනවා.."" - පාරේ අක්කාගෙන් ත්‍රිවිල් මල්ලිට දැඩි ප්‍රහාරයක්..!!! උර්ල්",Harassment,0.9136
"""දැන් තෝ මොන බල්ලෙක් උනත් මං තෝව අතාරිනවද ""  දැන් බල්ල ගානට වැටිල මාව   #bffgoals  #bestieappreciationtweet","""දැන් තෝ මොන බල්ලෙක් උනත් මං තෝව අතාරිනවද "" දැන් බල්ල ගානට වැටිල මාව බ්ෆ්ෆ්ගොඅල්ස් බෙස්තිඑඅප්ප්රෙකිඅතිඔන්ත්වෙඑත්",Harassment,0.9482
"""නිකන් දෙන හුත්තකට පුක දෙන්න ගිහින්""  URL This Tweet is unavailable.","""නිකන් දෙන හුත්තකට පුක දෙන්න ගිහින්"" උර්ල් This Tweet ඉස unavailable.",Harassment,0.9302
"""පකෝ හැමිනෙන්න නැතුව වාඩි වෙයන් තොගෙ වෙලාව ඉවරයි, කවුද හුත්තෝ හූ කියන්නේ....""  -වාසුදේව","""පකෝ හැමිනෙන්න නැතුව වාඩි වෙයන් තොගෙ වෙලාව ඉවරයි, කවුද හුත්තෝ හූ කියන්නේ...."" -වාසුදේව",Harassment,0.9565
"""පණ යනකල් ඇනලා ඇනලා ළමයෙක් හැදුවා,  ආහ් ආහ් ගගා උඩ බලාගෙන හිටපු ගෑණි... අපේ බබා""   From එෆ් බී.","""පණ යනකල් ඇනලා ඇනලා ළමයෙක් හැදුවා, ආහ් ආහ් ගගා උඩ බලාගෙන හිටපු ගෑණි... අපේ බබා"" From එෆ් බී.",Harassment,0.916
"""පොහොට්‌ටුව අම්මෙක්‌ අප්පෙක් නැති අවජාතක පක්‌ෂයක්‌"" – පා. ම. ආනන්ද අලුත්ගමගේ | Medaperadiga URL","""පොහොට්‌ටුව අම්මෙක්‌ අප්පෙක් නැති අවජාතක පක්‌ෂයක්‌"" – පා. ම. ආනන්ද අලුත්ගමගේ | මෙදපෙරදිග උර්ල්",Harassment,0.9585
"""මං පොර ජාතක බොල.. හැහ් හැහ්..."" ~ සැං ආතා #zenaatha #comedian #candles #oillamps #lka URL","""මං පොර ජාතක බොල.. හැහ් හැහ්..."" ~ සැං ආතා ළෙනාථ #comedian චාන්ද්ලෙස් ඔඉල්ලංප්ස ලක උර්ල්",Harassment,0.981
"""මහින්ද මහත්තයාට උනේ රෙන්න කලින් පුක හේදුවා වගේ වැඩක්.""","""මහින්ද මහත්තයාට උනේ රෙන්න කලින් පුක හේදුවා වගේ වැඩක්.""",Harassment,0.9697
"""මැණික උඹ ඇරපු නයි මමත් කෑවනම් මටත් අද කොරෝනා""    #tuktukquotes","""මැණික උඹ ඇරපු නයි මමත් කෑවනම් මටත් අද කොරෝනා"" තුක්තුක්කුඔතෙස්",Harassment,0.9111
"""මැණික උඹ ඇරපු නයි මමත් කෑවා නං මට අද කොරෝනා"" #TukTukQuotes","""මැණික උඹ ඇරපු නයි මමත් කෑවා නං මට අද කොරෝනා"" තුක්තුක්කුඔතෙස්",Harassment,0.9263
"""මොකාද යකෝ මගෙ කිට් එක උස්සපු එකා?? යකඩ බඩු කාරයාවත් අරන් ගියාද? "" - Iron Man  #IFsuperHeroeswereSrilankan","""මොකාද යකෝ මගෙ කිට් එක උස්සපු එකා?? යකඩ බඩු කාරයාවත් අරන් ගියාද? "" - Iron Man ඉෆ්සුපෙර්හෙරොඑස්වෙරෙස්රිලංකං",Harassment,0.9688
"""රෙන්න තියෙන පුක දෙන්න එපා""  Thish Dissanayake @USER  · 6 Jan 2017 කෙල්ලොන්ට පේන්ඩ පකේ ලයින් දාන්නෙ නැතුව වැඩක් බලගනින් බං. රෙන්ඩ තියන පුක සැපයුම් මර්ගයක් කරගනින් wholesale දාගන්නෙ නැතුව. චීත්ත පකය","""රෙන්න තියෙන පුක දෙන්න එපා"" තිෂ් දිස්සනයකේ · 6 ජන 2017 කෙල්ලොන්ට පේන්ඩ පකේ ලයින් දාන්නෙ නැතුව වැඩක් බලගනින් බං. රෙන්ඩ තියන පුක සැපයුම් මර්ගයක් කරගනින් wholesale දාගන්නෙ නැතුව. චීත්ත පකය",Harassment,0.9551
"""සර් මේ location හරිද?""  ""නෑ. මම අපායේ ඉන්න තොගෙ මැරිච්ච සීයා. මම මේ Uber app එකෙන් ආවෙ තෝ හරියට වාහන එලවනවද බලන්න.  කාලකණ්ණියා""","""සර් මේ location හරිද?"" ""නෑ. මම අපායේ ඉන්න තොගෙ මැරිච්ච සීයා. මම මේ උබෙර් අප්ප එකෙන් ආවෙ තෝ හරියට වාහන එලවනවද බලන්න. කාලකණ්ණියා""",Harassment,0.9653
"""සිංහල දේශප්‍රේමය"". පුක තමයි. බදුර්දීන්ට විරුද්ධව දෝෂාභියෝගය අත්සන් කරන්න බය සියලු පක්ෂ වල සක්කිලි  අවජාතකයෝ. තොපේ අම්මගෙන් තාත්තා කවුද කියල හරියටම අහගනිං ඒකිට මතක නම්. මේ වෙලාවෙත් ජාතියට වඩා ඡන්ද ලොකු උන පර හැත්ත.","""සිංහල දේශප්‍රේමය"". පුක තමයි. බදුර්දීන්ට විරුද්ධව දෝෂාභියෝගය අත්සන් කරන්න බය සියලු පක්ෂ වල සක්කිලි අවජාතකයෝ. තොපේ අම්මගෙන් තාත්තා කවුද කියල හරියටම අහගනිං ඒකිට මතක නම්. මේ වෙලාවෙත් ජාතියට වඩා ඡන්ද ලොකු උන පර හැත්ත.",Harassment,0.9556
"@USER  @USER ""සෙන්නද පුප පූං ගෑවේ"" පුක කියද්දි මතක්වුනා","""සෙන්නද පුප පූං ගෑවේ"" පුක කියද්දි මතක්වුනා",Harassment,0.9521
"@USER ""හුත්තියේ බිජ්ජ අල්ලන්නෙපා; හිකුවොත් මැරේ""","""හුත්තියේ බිජ්ජ අල්ලන්නෙපා; හිකුවොත් මැරේ""",Harassment,0.9858
"# කොට්න්ම ගෑණියෙක් පිරිම් ආශ්‍රය  කරන්නම හොදනෑ මොකද උන්ට තමන්ගෙ අම්මා,නංගී,කෑල්ල අරෙන්න අනිත් උන් ඔක්කොම බඩු!!!!. (5/5)","# කොට්න්ම ගෑණියෙක් පිරිම් ආශ්‍රය කරන්නම හොදනෑ මොකද උන්ට තමන්ගෙ අම්මා,නංගී,කෑල්ල අරෙන්න අනිත් උන් ඔක්කොම බඩු!!!!. (5/5)",Harassment,0.9565
#17දිමං හිතුව 31දි ලමයි දෙකක් වත් ඉන්න පට්ට සල්ලිකාරයෙක් වේවි කියල ..,#17දිමං හිතුව 31දි ලමයි දෙකක් වත් ඉන්න පට්ට සල්ලිකාරයෙක් වේවි කියල ..,Harassment,0.9141
"#GOT බලපු උන් කටයි පුකයි වහගෙන ඉදපන් ස්පොයිලස් නොදා, පුක පලලා අබ වවනව නැත්තන්.","#GOT බලපු උන් කටයි පුකයි වහගෙන ඉදපන් ස්පොයිලස් නොදා, පුක පලලා අබ වවනව නැත්තන්.",Harassment,0.9692
"@USER #Katakathaa20   #ApeAwurudu  ඒහ්,උඹ මේකිව දන්නවද...  ඔව්,මේකි මගෙ ක්‍රශ් එක..  #ත්තෝ ඕකි හෙන බඩුවක්.. මමත් දෙපාරක් #හුවා  ඕකට... නැව්වැකි ළඟ....  අහ්,ඔව් මට එව්වා...  මොකක්ද...  උඹ ඒකිට දෙතුන් පාරක් ටෝක් කරලා පෝන්   නම්බරේ ඉල්ලුව ss වගයක්.......","#Katakathaa20 අපෙඅවුරුදු ඒහ්,උඹ මේකිව දන්නවද... ඔව්,මේකි මගෙ ක්‍රශ් එක.. #ත්තෝ ඕකි හෙන බඩුවක්.. මමත් දෙපාරක් #හුවා ඕකට... නැව්වැකි ළඟ.... අහ්,ඔව් මට එව්වා... මොකක්ද... උඹ ඒකිට දෙතුන් පාරක් ටෝක් කරලා පෝන් නම්බරේ ඉල්ලුව සස් වගයක්.......",Harassment,0.9863
"#අලි_වැට  එහෙන් යන කොට එහෙත් වහලා මෙහෙන් එන කොට මෙහෙත් වහලා නූල්, ඉඳි කටු අරන් ඇවිදින් පලයල්ල අපෙ #කටත් මහලා..  උඹලට ම තේරේවි දවසක ගෙට දාාල දොර අගුල් දැම්මම රෙද්ද උස්සන් හෙවුව මායිම  බොලගෙ මිදුලේ වැටක් ගැහුවම..  නඩු කියන්නද, බදු ගෙවන්නද කොහෙද අපිට උසාවී නඩුත් උන්ගේ, බඩුත් උන්ගේ","#අලි_වැට එහෙන් යන කොට එහෙත් වහලා මෙහෙන් එන කොට මෙහෙත් වහලා නූල්, ඉඳි කටු අරන් ඇවිදින් පලයල්ල අපෙ #කටත් මහලා.. උඹලට ම තේරේවි දවසක ගෙට දාාල දොර අගුල් දැම්මම රෙද්ද උස්සන් හෙවුව මායිම බොලගෙ මිදුලේ වැටක් ගැහුවම.. නඩු කියන්නද, බදු ගෙවන්නද කොහෙද අපිට උසාවී නඩුත් උන්ගේ, බඩුත් උන්ගේ",Harassment,0.9092
#තෙරුණි . . . බලු නන්දිපාලයෝ මම තෝව අයේ මරණවා යකෝ,#තෙරුණි . . . බලු නන්දිපාලයෝ මම තෝව අයේ මරණවා යකෝ,Harassment,0.9248
#පැණිවළලු දැන් හෙන චන්ඩියා වෙලා පයින් ගහනවා ඉවරයක් නෑ  #TheDaddyDiariesSL,#පැණිවළලු දැන් හෙන චන්ඩියා වෙලා පයින් ගහනවා ඉවරයක් නෑ ථෙදද්ද්ය්දිඅරිඑෂ්ල,Harassment,0.9268
#බඩු ගහන්න එපා යකෝ.. ං ං ං ං ං ං ං ංංං ඉස් @ #පොලවේ යකු.... — feeling ලෙලේ,#බඩු ගහන්න එපා යකෝ.. ං ං ං ං ං ං ං ංංං ඉස් @ #පොලවේ යකු.... — feeling ලෙලේ,Harassment,0.9805
"#බඩුව,#වේසි කියලා කියන්නෙත් #පන,#වස්තු කියපු කටින්ම තමයි sis ඒ නිසා පරිස්සමින්","#බඩුව,#වේසි කියලා කියන්නෙත් #පන,#වස්තු කියපු කටින්ම තමයි sis ඒ නිසා පරිස්සමින්",Harassment,0.9731
#මාතරඅහස වහිනවා හිටගෙනම පුක හෝදන්න පුලුවන් ගානට,#මාතරඅහස වහිනවා හිටගෙනම පුක හෝදන්න පුලුවන් ගානට,Harassment,0.9492
#ලොකුහීනනෑ අර  @USER  ගෙ හොම්බට දෙකක් ඇනල  කටට මුකවාඩමක් දාල ඉබ්බෙක් දාන්න අද හෙටම වයිෆිගෙන් පර්මිශන් ගන්න පුලුවන් උනානම් ඇති.,#ලොකුහීනනෑ අර ගෙ හොම්බට දෙකක් ඇනල කටට මුකවාඩමක් දාල ඉබ්බෙක් දාන්න අද හෙටම වයිෆිගෙන් පර්මිශන් ගන්න පුලුවන් උනානම් ඇති.,Harassment,0.9609
#විසිලා..... උඹ එහෙනං  ඇවිදින්න අමාරු මිනිහගෙ පොල්ලටත් ගේම දුන්නා නේද...!!!!! පිස්සෙක් යකෝ උඹ නං....ආදරෙයි උඹට ගොඩක්.     URL,#විසිලා..... උඹ එහෙනං ඇවිදින්න අමාරු මිනිහගෙ පොල්ලටත් ගේම දුන්නා නේද...!!!!! පිස්සෙක් යකෝ උඹ නං....ආදරෙයි උඹට ගොඩක්. උර්ල්,Harassment,0.9727
#සංස්කෘතික ලොජික්  කොටට ඇන්දොත් ඒකි බඩුවක්  ඉඳහිට පාටියකට බියර් උගුරක් තොල කට ගෑවොත් ඒකි බේබද්දියක්  හම්බවෙල අදාල මාතෘකාව ගැන කතා කරමු කිව්වොත් ඌ පොන්නයෙක්  කීබෝඩ් එකෙන් තර්ක කරොත් ඌ වීරයෙක්  අනේ යකෝ  ඇඳුමකින් හැදියාව හොයන්න යන්න කලින් නූල්පොටක් දැක්කම මෝල් වෙන එක නවත්තගනිම්,#සංස්කෘතික ලොජික් කොටට ඇන්දොත් ඒකි බඩුවක් ඉඳහිට පාටියකට බියර් උගුරක් තොල කට ගෑවොත් ඒකි බේබද්දියක් හම්බවෙල අදාල මාතෘකාව ගැන කතා කරමු කිව්වොත් ඌ පොන්නයෙක් කීබෝඩ් එකෙන් තර්ක කරොත් ඌ වීරයෙක් අනේ යකෝ ඇඳුමකින් හැදියාව හොයන්න යන්න කලින් නූල්පොටක් දැක්කම මෝල් වෙන එක නවත්තගනිම්,Harassment,0.9341
#හොඳ_තම්බි #නරක_තම්බි  #අන්තවාදී_තම්බි  උඹලට පිස්සුද යකුනේ උන්ගෙ ජාති නෑ ඔක්කොම එක මල්ලෙ පොල්. ඔක්කොම සක්කිලි. උඩින් ලේවකාගෙන යටින් හපාගෙන යන්නෙ  URL,#හොඳ_තම්බි #නරක_තම්බි #අන්තවාදී_තම්බි උඹලට පිස්සුද යකුනේ උන්ගෙ ජාති නෑ ඔක්කොම එක මල්ලෙ පොල්. ඔක්කොම සක්කිලි. උඩින් ලේවකාගෙන යටින් හපාගෙන යන්නෙ උර්ල්,Harassment,0.9731
''මහින්දගේ අවජාතක දරුවා සුජාත කරන්නයි හදන්නේ'' URL,''මහින්දගේ අවජාතක දරුවා සුජාත කරන්නයි හදන්නේ'' උර්ල්,Harassment,0.9644
''මහින්දගේ අවජාතක දරුවා සුජාත කරන්නයි හදන්නේ''  #lka #SriLanka  @USER  #SAITM  @USER   URL,''මහින්දගේ අවජාතක දරුවා සුජාත කරන්නයි හදන්නේ'' ලක ශ්‍රීලංකා සිතම් උර්ල්,Harassment,0.9521
"@USER 'අම්මට හු*හන්' කියලා කවුරු හරි කිව්වාම, 'හු*ලා තමයි පකෝ අාවෙ කියන්න පුළුවන් හින්දා'.","'අම්මට හු*හන්' කියලා කවුරු හරි කිව්වාම, 'හු*ලා තමයි පකෝ අාවෙ කියන්න පුළුවන් හින්දා'.",Harassment,0.978
